CODE_PRODUIT;CODE_ADHERENT;CODE_SITE;SURFACE_PREVISIONNELLE
CO0100;0000504602;D220;1.26
CO0100;0000505981;D212;22
CO0100;0002036533;D411;2.48
CO0100;0002037310;D102;9.91
CO0100;0000299906;D213;45
CO0100;0000300103;D204;15
CO0100;0000300369;D204;24.68
CO0100;0000300903;D200;3
CO0100;0000301029;D204;1.4
CO0100;0000301297;D204;5.45
CO0100;0000301642;D204;3.95
CO0100;0000301901;D204;8
CO0100;0000302090;D200;2.73
CO0100;0000456660;D204;4.02
CO0100;0000500387;D204;10
CO0100;0000500387;D213;10
CO0100;0000500981;D213;2.8
CO0100;0000501198;D204;10.4
CO0100;0000501199;D204;20
CO0100;0000501199;D213;14.77
CO0100;0000501872;D213;11
CO0100;0000504143;D204;30
CO0100;0000504415;D204;7.69
CO0100;0000504725;D204;6
CO0100;0000504756;D204;6.5
CO0100;0000504864;D204;21.4
CO0100;0000504941;D213;7
CO0100;0000505215;D200;6.41
CO0100;0002036540;D204;2.91
CO0100;0002037237;D204;10
CO0100;0000109433;D205;11.11
CO0100;0000132786;D424;11
CO0100;0000166303;D424;4
CO0100;0000245181;D126;12.26
CO0100;0000259243;D424;13.59
CO0100;0000264014;D424;16.99
CO0100;0000279509;D424;9.2
CO0100;0000282235;D424;7.41
CO0100;0000283698;D424;9.33
CO0100;0000294712;D424;10.3
CO0100;0000298322;D100;8.98
CO0100;0000299918;D205;14.3
CO0100;0000299935;D424;10.4
CO0100;0000300056;D065;10
CO0100;0000300056;D210;9.24
CO0100;0000300338;D100;10
CO0100;0000300338;D111;10
CO0100;0000300475;D424;10.5
CO0100;0000300512;D100;8.45
CO0100;0000301221;D100;14
CO0100;0000301826;D201;6.6
CO0100;0000301854;D100;6
CO0100;0000302488;D126;8.15
CO0100;0000302662;D100;2
CO0100;0000404906;D110;6.77
CO0100;0000408052;D424;12
CO0100;0000456550;D126;21
CO0100;0000456616;D201;6
CO0100;0000456616;D424;10
CO0100;0000457683;D109;13.2
CO0100;0000462726;D126;24.11
CO0100;0000465927;D226;13.3
CO0100;0000500369;D201;13.5
CO0100;0000500592;D411;30
CO0100;0000500799;D100;17
CO0100;0000501566;D100;4.9
CO0100;0000501570;D100;16.67
CO0100;0000502775;D205;7.66
CO0100;0000503305;D100;7.16
CO0100;0000503484;D100;9.8
CO0100;0000503607;D205;14.5
CO0100;0000503644;D205;13.7
CO0100;0000504168;D100;2.6
CO0100;0000504229;D100;10
CO0100;0000504339;D205;38.46
CO0100;0000504349;D109;5.2
CO0100;0000504497;D100;2.95
CO0100;0002037023;D508;74.56
CO0100;0002037088;D205;2.07
CO0100;0000104249;D112;12
CO0100;0000115087;D114;10
CO0100;0000235826;D143;34.61
CO0100;0000259479;D112;13
CO0100;0000277257;D114;13.1
CO0100;0000279806;D114;30.71
CO0100;0000295295;D114;25.07
CO0100;0000296571;D114;5.8
CO0100;0000296945;D112;10.5
CO0100;0000297594;D112;8.9
CO0100;0000297891;D143;12.33
CO0100;0000298058;D114;24.8
CO0100;0000298179;D112;9.56
CO0100;0000299620;D112;9
CO0100;0000300189;D112;30
CO0100;0000300485;D112;16
CO0100;0000300496;D143;13
CO0100;0000300887;D112;23.97
CO0100;0000301307;D143;6.27
CO0100;0000301308;D143;2.37
CO0100;0000301637;D112;8.23
CO0100;0000301741;D112;1.47
CO0100;0000407370;D112;18.3
CO0100;0000407436;D112;7.5
CO0100;0000412287;D143;15
CO0100;0000412903;D112;23
CO0100;0000424079;D112;34.09
CO0100;0000429029;D114;9.05
CO0100;0000435078;D112;23
CO0100;0000437856;D112;15.51
CO0100;0000457056;D112;30
CO0100;0000457408;D114;11.76
CO0100;0000459168;D143;6.5
CO0100;0000460409;D112;40
CO0100;0000465784;D114;16.25
CO0100;0000466159;D112;0.75
CO0100;0002036927;D114;40.5
CO0100;0002036976;D114;6
CO0100;0002037605;D112;17.86
CO0100;0000088853;D464;42
CO0100;0000098880;D416;17
CO0100;0000105942;D416;26.5
CO0100;0000114188;D106;5
