CODE_PRODUIT;CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;QUANTITE_TRANSFEREE;COUT_UNITAIRE;COUT_TRANSFERT
CO0502;D202;D022;18;6.9;124.2
CO0502;D605;D639;4;5.89;23.56
CO0502;D063;D022;12;6.7;80.4
CO0502;D440;D462;51;5.2;265.2
CO0502;D513;D022;82;3.43;281.26
CO0502;D009;D022;27;3.06;82.62
CO0502;D013;D022;32;6.9;220.8
CO0502;D517;D519;217;3.7;802.9
CO0502;D128;D462;88;5.89;518.32
CO0502;D034;D022;28;4.24;118.72
CO0502;D641;D639;24;10.98;263.52
CO0502;D520;D519;148;4.52;668.96
CO0502;D667;D022;32;6.7;214.4
CO0502;D704;D707;18;5.2;93.6
CO0502;D053;D022;205;6.9;1414.5
CO0502;D504;D508;8;4.24;33.92
CO0502;D673;D022;72;10.04;722.88
CO0502;D110;D022;8;6.9;55.2
CO0502;D677;D639;33;4.24;139.92
CO0502;D210;D022;46;6.7;308.2
CO0502;D705;D707;12;4.24;50.88
CO0502;D514;D519;337;4.52;1523.24
CO0502;D411;D707;38;13.4;509.2
CO0502;D490;D022;64;6.9;441.6
CO0502;D645;D639;20;9.24;184.8
CO0502;D676;D639;26;3.43;89.18
CO0502;D660;D639;8;7.98;63.84
CO0502;D054;D022;9;3.7;33.3
CO0502;D606;D519;83;4.52;375.16
CO0502;D074;D022;6;6.7;40.2
CO0502;D662;D639;14;6.9;96.6
CO0502;D685;D639;17;5.2;88.4
CO0502;D708;D707;60;7.98;478.8
CO0502;D652;D462;10;9.24;92.4
CO0502;D678;D639;372;3.7;1376.4
CO0502;D220;D022;3;8.9;26.7
CO0502;D709;D710;6;4.24;25.44
CO0502;D710;D707;20;11.31;226.2
CO0502;D679;D639;38;3.7;140.6
CO0502;D214;D022;2;5.2;10.4
CO0502;D200;D022;4;8.9;35.6
CO0502;D116;D462;6;4.52;27.12
CO0502;D711;D707;5;7.06;35.3
CO0502;D046;D022;45;4.52;203.4
CO0502;D629;D639;270;7.98;2154.6
CO0502;D442;D462;7;5.89;41.23
CO0502;D638;D639;207;3.06;633.42
CO0502;D511;D022;42;7.98;335.16
CO0502;D681;D639;34;5.89;200.26
CO0502;D644;D639;116;8.9;1032.4
CO0502;D049;D022;32;7.06;225.92
CO0502;D628;D639;6;5.2;31.2
CO0154;D654;D633;84;4.52;379.68
CO0154;D631;D633;298;3.06;911.88
CO0154;D053;D633;43;9.24;397.32
CO0154;D652;D633;13;6.9;89.7
CO0154;D441;D633;38;6.9;262.2
CO0154;D617;D633;62;11.63;721.06
CO0154;D216;D435;211;9.24;1949.64
CO0175;D621;D606;49;5.2;254.8
CO0175;D638;D606;233;4.52;1053.16
CO0175;D603;D606;51;3.43;174.93
CO0175;D628;D602;276;5.2;1435.2
CO0166;D402;D404;180;3.7;666.0
CO0166;D009;D022;105;3.06;321.3
CO0166;D013;D022;109;6.9;752.1
CO0166;D111;D022;43;7.06;303.58
CO0166;D514;D022;45;5.2;234.0
CO0166;D669;D404;79;4.52;357.08
CO0166;D014;D022;194;4.24;822.56
CO0166;D663;D404;75;7.06;529.5
CO0166;D632;D404;70;3.06;214.2
CO0166;D017;D022;51;5.89;300.39
CO0166;D068;D508;190;6.7;1273.0
CO0166;D056;D508;68;5.2;353.6
CO0200;D100;D107;961;3.06;2940.66
CO0200;D100;D410;961;3.06;2940.66
CO0200;D647;D442;39;11.63;453.57
CO0200;D020;D490;62;4.24;262.88
CO0200;D402;D490;110;3.43;377.3
CO0200;D404;D632;176;3.06;538.56
CO0200;D654;D658;79;3.06;241.74
CO0200;D605;D603;18;3.06;55.08
CO0200;D405;D442;137;4.52;619.24
CO0200;D063;D062;317;4.52;1432.84
CO0200;D503;D062;54;3.7;199.8
CO0200;D032;D062;50;6.9;345.0
CO0200;D440;D442;158;3.06;483.48
CO0200;D513;D062;92;4.24;390.08
CO0200;D001;D062;526;5.2;2735.2
CO0200;D657;D658;153;3.06;468.18
CO0200;D013;D062;375;5.89;2208.75
CO0200;D157;D405;43;3.43;147.49
CO0200;D610;D603;188;4.24;797.12
CO0200;D642;D442;61;9.24;563.64
CO0200;D128;D143;191;3.06;584.46
CO0200;D026;D062;381;7.4;2819.4
CO0200;D034;D062;364;3.06;1113.84
CO0200;D666;D658;143;4.24;606.32
CO0200;D510;D062;174;6.7;1165.8
CO0200;D631;D632;517;3.43;1773.31
CO0200;D460;D216;147;3.06;449.82
CO0200;D649;D442;120;7.06;847.2
CO0200;D667;D632;88;3.06;269.28
CO0200;D222;D442;82;6.9;565.8
CO0200;D653;D658;54;4.52;244.08
CO0200;D609;D603;174;4.52;786.48
CO0200;D102;D424;219;4.52;989.88
CO0200;D673;D658;225;3.06;688.5
CO0200;D002;D062;16;3.7;59.2
CO0200;D110;D143;165;6.7;1105.5
CO0200;D210;D410;333;3.7;1232.1
CO0200;D035;D062;56;3.06;171.36
CO0200;D003;D062;298;3.43;1022.14
CO0200;D111;D410;93;3.06;284.58
CO0200;D514;D062;357;6.7;2391.9
CO0200;D411;D107;172;3.06;526.32
CO0200;D614;D603;167;3.06;511.02
CO0200;D010;D062;67;3.06;205.02
CO0200;D674;D603;74;4.24;313.76
CO0200;D627;D658;92;8.9;818.8
CO0200;D669;D658;228;3.06;697.68
CO0200;D416;D424;1151;4.52;5202.52
CO0200;D014;D062;200;5.2;1040.0
CO0200;D018;D062;40;3.43;137.2
CO0200;D419;D490;302;3.06;924.12
CO0200;D652;D442;371;5.2;1929.2
CO0200;D441;D442;64;5.2;332.8
CO0200;D106;D062;291;5.89;1713.99
CO0200;D501;D062;112;6.7;750.4
CO0200;D114;D143;223;3.43;764.89
CO0200;D464;D062;138;6.7;924.6
CO0200;D209;D216;123;3.43;421.89
CO0200;D109;D201;176;3.06;538.56
CO0200;D015;D062;21;3.06;64.26
